1.000000000000000e+00 1.000000000000000e+00
1.300000000000000e+00 7.067344557426237e-01
1.690000000000000e+00 7.036956775408825e-01
2.197000000000001e+00 7.001233580049343e-01
2.856100000000001e+00 6.835419826968278e-01
3.712930000000001e+00 5.704879227858440e-01
4.826809000000002e+00 2.834853056393672e-01
6.274851700000003e+00 9.903317219536589e-02
8.157307210000004e+00 3.857373851872843e-02
1.060449937300001e+01 1.726983280268049e-02
1.378584918490001e+01 8.918153025504251e-03
1.792160394037001e+01 5.200953508143160e-03
2.329808512248102e+01 3.117186197699617e-03
3.028751065922532e+01 1.883647274545758e-03
3.937376385699292e+01 1.183510859962328e-03
5.118589301409080e+01 7.834247328855033e-04
6.654166091831804e+01 5.333866720005334e-04
8.650415919381346e+01 3.833652804400367e-04
1.124554069519575e+02 2.000133342222815e-04
1.461920290375448e+02 1.333377779259309e-04
1.900496377488082e+02 6.666777779629661e-05
2.470645290734507e+02 1.666666666666667e-05
2.560000000000017e+02 0.000000000000000e+00
