1.000000000000000e+00 1.000000000000000e+00
1.300000000000000e+00 4.760960160026671e-01
1.690000000000000e+00 5.605840876131420e-02
2.197000000000001e+00 5.562408321109481e-02
2.856100000000001e+00 5.517586264377396e-02
3.712930000000001e+00 5.467486789685119e-02
4.826809000000002e+00 5.224029870649420e-02
6.274851700000003e+00 3.873849846646220e-02
8.157307210000004e+00 1.556926154359060e-02
1.060449937300001e+01 5.067680202707208e-03
1.378584918490001e+01 2.133724516161296e-03
1.792160394037001e+01 1.083550043342002e-03
2.329808512248102e+01 6.334494657353848e-04
3.028751065922532e+01 5.167527921320220e-04
3.937376385699292e+01 3.500525078761814e-04
5.118589301409080e+01 3.000400053340445e-04
6.654166091831804e+01 2.000233360558732e-04
8.650415919381346e+01 1.166763896991416e-04
1.124554069519575e+02 6.667111140742716e-05
1.461920290375448e+02 6.667000016667501e-05
1.900496377488082e+02 3.333444448148272e-05
2.470645290734507e+02 1.666694444907415e-05
3.211838877954859e+02 1.666666666666667e-05
4.000000000000011e+02 0.000000000000000e+00
